Rider,FTP (w),Weight (kg),Power-to-Weight Ratio (w/kg),Height (m),Points (GC),Points (Time Trial),Points (Sprint),Points (Climb),Date of Birth,Tour de Frances participated in,1998 TDF Total Finish Time (s),1999 TDF Total Finish Time (s),2000 TDF Total Finish Time (s),2001 TDF Total Finish Time (s),2002 TDF Total Finish Time (s),2004 TDF Total Finish Time (s),2006 TDF Total Finish Time (s),2007 TDF Total Finish Time (s),2008 TDF Total Finish Time (s),2009 TDF Total Finish Time (s),2010 TDF Total Finish Time (s),2011 TDF Total Finish Time (s),2012 TDF Total Finish Time (s),2013 TDF Total Finish Time (s),2014 TDF Total Finish Time (s),2015 TDF Total Finish Time (s),2016 TDF Total Finish Time (s),2017 TDF Total Finish Time (s),2018 TDF Total Finish Time (s),2019 TDF Total Finish Time (s),2020 TDF Total Finish Time (s),2021 TDF Total Finish Time (s),2022 TDF Total Finish Time (s),2023 TDF Total Finish Time (s),Overall Type Index
Alessandro De Marchi,399,66,6.05,1.81,593,504,151,1941,19-May-86,"2020, 2017, 2014, 2013",,,,,,,,,,,,,,310791,333240,,,322100,,,330851,,,,3.2452179366572595
Alex Dowsett,400,79,5.06,1.82,682,3466,216,155,3-Oct-88,2019,,,,,,,,,,,,,,,,,,,,313899,,,,,1.4525337464040717
Alexander Kristoff,430,81,5.31,1.83,2154,299,9242,3834,5-Jul-87,"2023, 2022, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013",,,,,,,,,,,,,,315990,339052,319640,336552,324395,312646,313085,334113,,301834,314973,2.6132397449932383
Ben Swift,430,70,6.14,1.79,897,87,2756,1660,5-Nov-87,"2017, 2011",,,,,,,,,,,,322229,,,,,,321343,,,,,,,2.7648148148148146
Bradley Wiggins,440,83,5.3,1.9,3525,6485,352,2266,28-Apr-80,"2012, 2010, 2009, 2006",,,,,,,335102,,,309276,333492,,315287,,,,,,,,,,,,2.1244852708267343
Bruno Armirail,407,70,5.81,1.9,527,1045,5,273,11-Apr-94,2021,,,,,,,,,,,,,,,,,,,,,,309994,,,2.015135135135135
Connor Swift,400,77,5.19,1.9,553,294,181,368,30-Oct-95,"2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,331324,310224,299305,,2.712750716332378
Daniel Oss,445,78,5.71,1.91,735,423,1226,838,13-Jan-87,"2023, 2021, 2020, 2019, 2018, 2015, 2014, 2012, 2011, 2010",,,,,,,,,,,343267,320369,325811,,334667,317308,,,312582,309116,331251,312209,,310921,2.617008069522036
Dimitri Claeys,417,77,5.42,1.91,48,121,979,428,18-Jun-87,"2018, 2017",,,,,,,,,,,,,,,,,,326756,313708,,,,,,2.4968274111675126
Dion Smith,372,67,5.55,1.79,759,71,796,1230,3-Mar-93,"2023, 2018, 2017",,,,,,,,,,,,,,,,,,324019,311377,,,,,313195,3.1022408963585435
